Keyword Rank,Target Keyword,Business Name,Category,Primary Phone,Phone Source,Secondary Phones,Secondary Phone Sources,Primary Email / Gmail,Email Source,LinkedIn Owner Name,LinkedIn Owner Title,LinkedIn Owner Email,Website,Facebook,Instagram,LinkedIn,Address,GMB Rating,GMB Reviews Count,Google Maps Link
#1,realestate in faislabad in Jaranwala Road Pakistan,Akhtar Property Dealers,Not Found,+92 321 9655504,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Akhtar+Property+Dealers/data=!4m7!3m6!1s0x3922680b797d70f3:0xc639a2a25f965c66!8m2!3d31.4076705!4d73.1087516!16s%2Fg%2F1tfkjkkk!19sChIJ83B9eQtoIjkRZlyWX6KiOcY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Royal developer,Not Found,+92 301 4101267,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Royal+developer/data=!4m7!3m6!1s0x392269febacce799:0x28d7920403cd83fd!8m2!3d31.415401!4d73.1153404!16s%2Fg%2F11sqtkpht6!19sChIJmefMuv5pIjkR_YPNAwSS1yg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Naqvi estate agency faisalabad,Not Found,+92 300 0787906,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Naqvi+estate+agency+faisalabad/data=!4m7!3m6!1s0x3922697e140701d5:0x8e2cc44de6df30a0!8m2!3d31.4112598!4d73.0955368!16s%2Fg%2F11fsnzdqr2!19sChIJ1QEHFH5pIjkRoDDf5k3ELI4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,اخلاق اسٹیٹ ایڈوائزر,Not Found,+92 305 6363637,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/%D8%A7%D8%AE%D9%84%D8%A7%D9%82+%D8%A7%D8%B3%D9%B9%DB%8C%D9%B9+%D8%A7%DB%8C%DA%88%D9%88%D8%A7%D8%A6%D8%B2%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x392267703fa53ccb:0xf97d705049ea7df7!8m2!3d31.4035893!4d73.1333597!16s%2Fg%2F11nfw33qgd!19sChIJyzylP3BnIjkR933qSVBwffk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,National Estate Advisor,Not Found,+92 337 0743824,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/National+Estate+Advisor/data=!4m7!3m6!1s0x392269bc5f92359d:0x2ddf311a5172e31c!8m2!3d31.4160669!4d73.1097936!16s%2Fg%2F11zdj1vgss!19sChIJnTWSX7xpIjkRHONyURox3y0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Pakistan Estate,Not Found,+92 321 6650917,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Pakistan+Estate/data=!4m7!3m6!1s0x39226f1093ca2b2b:0x7dc2c744b262eb25!8m2!3d31.4024909!4d73.1419576!16s%2Fg%2F11n106cs33!19sChIJKyvKkxBvIjkRJetiskTHwn0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Property dealer faisalabad,Not Found,+92 313 7200050,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Property+dealer+faisalabad/data=!4m7!3m6!1s0x39225d8d70b65f27:0xac592f1ce406fcc4!8m2!3d31.3517085!4d73.0624777!16s%2Fg%2F11fjmgj8dt!19sChIJJ1-2cI1dIjkRxPwG5BwvWaw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Property Markaz,Not Found,+92 323 6111300,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Property+Markaz/data=!4m7!3m6!1s0x39226925243b8def:0x38bfe44da5f6066c!8m2!3d31.4137353!4d73.1138686!16s%2Fg%2F11t46vqjqv!19sChIJ7407JCVpIjkRbAb2pU3kvzg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Talha Real Estate - Citi Housing Faisalabad,Not Found,+92 328 3300111,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Talha+Real+Estate+-+Citi+Housing+Faisalabad/data=!4m7!3m6!1s0x39225d17424ad4ef:0xd71a21862797818e!8m2!3d31.3272472!4d73.0855682!16s%2Fg%2F11ynv5r8pd!19sChIJ79RKQhddIjkRjoGXJ4YhGtc?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Apna Ghar Real Estate Linkers,Not Found,+92 336 1111336,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Apna+Ghar+Real+Estate+Linkers/data=!4m7!3m6!1s0x392267646ed93c01:0x39b66baaaa149139!8m2!3d31.4026849!4d73.1286671!16s%2Fg%2F11j1fjmljm!19sChIJATzZbmRnIjkROZEUqqprtjk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,AL Meezan Real Estate,Not Found,+92 300 6622098,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/AL+Meezan+Real+Estate/data=!4m7!3m6!1s0x39226922b55c142f:0x5ac087523e850eef!8m2!3d31.427562!4d73.1527107!16s%2Fg%2F11s17q8zbf!19sChIJLxRctSJpIjkR7w6FPlKHwFo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Kundi Estate Consultant,Not Found,+92 300 9825000,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Kundi+Estate+Consultant/data=!4m7!3m6!1s0x392267f608666583:0x860ed519e75eeacd!8m2!3d31.391402!4d73.1661984!16s%2Fg%2F11lssfkm65!19sChIJg2VmCPZnIjkRzepe5xnVDoY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Master Estate Agency,Not Found,+92 312 7653912,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Master+Estate+Agency/data=!4m7!3m6!1s0x39226723f116bceb:0x10970f14ee2662f3!8m2!3d31.3903615!4d73.1000491!16s%2Fg%2F11fj_wlf0m!19sChIJ67wW8SNnIjkR82Im7hQPlxA?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Umer Estate,Not Found,+92 300 9791225,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Umer+Estate/data=!4m7!3m6!1s0x392265b65e36bb1b:0xf0331c6835688db5!8m2!3d31.3970638!4d73.182591!16s%2Fg%2F11t9_g6n22!19sChIJG7s2XrZlIjkRtY1oNWgcM_A?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Hanzala Real Estate,Not Found,+92 300 7273078,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Hanzala+Real+Estate/data=!4m7!3m6!1s0x3922690a50abf7d3:0xdf9504dc756ca2e8!8m2!3d31.4293028!4d73.1523817!16s%2Fg%2F11trlqb6k5!19sChIJ0_erUAppIjkR6KJsddwEld8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Attari Estate,Not Found,+92 300 6384666,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Attari+Estate/data=!4m7!3m6!1s0x3922692d763e0793:0x2ea375290caccfe8!8m2!3d31.4208515!4d73.178557!16s%2Fg%2F11r_gjr32d!19sChIJkwc-di1pIjkR6M-sDCl1oy4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Aqeeq Property Pvt Ltd,Not Found,+92 307 8277775,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Aqeeq+Property+Pvt+Ltd/data=!4m7!3m6!1s0x3922670b0cbbeb7f:0xbaa96f0405fc9698!8m2!3d31.3912702!4d73.1661003!16s%2Fg%2F11jcx2nmsm!19sChIJf-u7DAtnIjkRmJb8BQRvqbo?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Al Farooq Estate Faisalabad,Not Found,+92 300 6606131,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Al+Farooq+Estate+Faisalabad/data=!4m7!3m6!1s0x392243c2cfb448e3:0x29c34cfbd6a89af!8m2!3d31.4100535!4d73.0556895!16s%2Fg%2F11l6f3x_w2!19sChIJ40i0z8JDIjkRr4lqvc80nAI?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Akhtar Property Dealers,Not Found,+92 321 9655504,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Akhtar+Property+Dealers/data=!4m7!3m6!1s0x3922680b797d70f3:0xc639a2a25f965c66!8m2!3d31.4076705!4d73.1087516!16s%2Fg%2F1tfkjkkk!19sChIJ83B9eQtoIjkRZlyWX6KiOcY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Sitara park City jaranwala road,Not Found,Not Found,,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Sitara+park+City+jaranwala+road/data=!4m7!3m6!1s0x39226700441fd1f1:0xce76c4cedda087a0!8m2!3d31.3889783!4d73.1565883!16s%2Fg%2F11yzc21jl1!19sChIJ8dEfRABnIjkRoIeg3c7Eds4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Rizwan Estate Faisalabad,Not Found,+92 321 7536613,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Rizwan+Estate+Faisalabad/data=!4m7!3m6!1s0x3922698ff104fa31:0xb357291c62298a62!8m2!3d31.4360099!4d73.1080902!16s%2Fg%2F11ft1c1m00!19sChIJMfoE8Y9pIjkRYoopYhwpV7M?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Shahenshah Estate Developers,Not Found,+92 300 9298373,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Shahenshah+Estate+Developers/data=!4m7!3m6!1s0xaf2b0988ec25d5cf:0x993425c1f3ea4cd7!8m2!3d29.2666503!4d68.2839529!16s%2Fg%2F11mrtt45lg!19sChIJz9Ul7IgJK68R10zq88ElNJk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,215 RB Kakuana Nasheman Town Jaranwala Road Faisalabad,Not Found,Not Found,,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/215+RB+Kakuana+Nasheman+Town+Jaranwala+Road+Faisalabad/data=!4m7!3m6!1s0x392267006ccc3763:0x36670999af69c93d!8m2!3d31.4021267!4d73.1645659!16s%2Fg%2F11z5x9db49!19sChIJYzfMbABnIjkRPclpr5kJZzY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,TOP REALTORS PVT LTD,Not Found,Not Found,,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/TOP+REALTORS+PVT+LTD/data=!4m7!3m6!1s0x392267c78b0f11f5:0x6c6d6868d1f8d37a!8m2!3d31.3990551!4d73.1522716!16s%2Fg%2F11vdq3jhw3!19sChIJ9REPi8dnIjkRetP40WhobWw?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Faisalabad Real Estate,Not Found,+92 322 6020921,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Faisalabad+Real+Estate/data=!4m7!3m6!1s0x3922695e459190c3:0x16991862a6e43d76!8m2!3d31.4267036!4d73.1534704!16s%2Fg%2F11yv61671q!19sChIJw5CRRV5pIjkRdj3kpmIYmRY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Park City,Not Found,Not Found,,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Park+City/data=!4m7!3m6!1s0x392267b9b18723df:0x68af9b54228cfa82!8m2!3d31.3973318!4d73.1578316!16s%2Fg%2F11hzg_t0rp!19sChIJ3yOHsblnIjkRgvqMIlSbr2g?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Top City Faisalabad - ZM Marketing,Not Found,+92 306 7171531,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Top+City+Faisalabad+-+ZM+Marketing/data=!4m7!3m6!1s0x39225deb92648ee7:0x15f67f4f30703c86!8m2!3d31.3285396!4d73.1126858!16s%2Fg%2F11t_z1rfsp!19sChIJ545kkutdIjkRhjxwME9_9hU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Al Barkat Real Estate,Not Found,+92 319 0209697,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Al+Barkat+Real+Estate/data=!4m7!3m6!1s0x3922698d714b9283:0x113b98a586ce1c1!8m2!3d31.4096734!4d73.1551237!16s%2Fg%2F11s2yhhnhd!19sChIJg5JLcY1pIjkRweFsWIq5EwE?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Bismillah Garden,Not Found,+92 321 6602199,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Bismillah+Garden/data=!4m7!3m6!1s0x39226798894de177:0x96a660e4a81bda95!8m2!3d31.3943125!4d73.1800625!16s%2Fg%2F11j5j8llg4!19sChIJd-FNiZhnIjkRldobqORgppY?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Fatima Plaza Super Jalvi Market Jaranwala road Faisalabad,Not Found,+92 302 7906561,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Fatima+Plaza+Super+Jalvi+Market+Jaranwala+road+Faisalabad/data=!4m7!3m6!1s0x3922695539d0b25f:0x850cae354aa6ed8b!8m2!3d31.4048459!4d73.1249891!16s%2Fg%2F11lgjr11hw!19sChIJX7LQOVVpIjkRi-2mSjWuDIU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,MGG Real Estate & Developers,Not Found,+92 307 2392732,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/MGG+Real+Estate+%26+Developers/data=!4m7!3m6!1s0x392269d17e365e2d:0x493e336563c4dfb7!8m2!3d31.4268367!4d73.149734!16s%2Fg%2F11tdcn5cfq!19sChIJLV42ftFpIjkRt9_EY2UzPkk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Naeem Estate Agency,Not Found,+92 322 6364800,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Naeem+Estate+Agency/data=!4m7!3m6!1s0x392267d50b9b2cff:0x595603b8a6d4971b!8m2!3d31.4040691!4d73.1323361!16s%2Fg%2F12mkzzvm2!19sChIJ_yybC9VnIjkRG5fUprgDVlk?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,UK REAL ESTATE,Not Found,+92 306 7270631,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/UK+REAL+ESTATE/data=!4m7!3m6!1s0x392267f2b050fcf7:0xd592d2348ed94afa!8m2!3d31.374037!4d73.1327496!16s%2Fg%2F11pq52f8jj!19sChIJ9_xQsPJnIjkR-krZjjTSktU?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Gulberg Valley,Not Found,+92 300 6688402,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Gulberg+Valley/data=!4m7!3m6!1s0x392266208df39685:0xfe2b77ddad8a02c5!8m2!3d31.4089717!4d73.1538766!16s%2Fg%2F11cmccfgpj!19sChIJhZbzjSBmIjkRxQKKrd13K_4?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,National Estate Advisor,Not Found,+92 337 0743824,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/National+Estate+Advisor/data=!4m7!3m6!1s0x392269bc5f92359d:0x2ddf311a5172e31c!8m2!3d31.4160669!4d73.1097936!16s%2Fg%2F11zdj1vgss!19sChIJnTWSX7xpIjkRHONyURox3y0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Zee Real Estates,Not Found,+92 300 5378199,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Zee+Real+Estates/data=!4m7!3m6!1s0x39226fc856ab6d4f:0xdf319d203c3d4b39!8m2!3d31.4752806!4d73.2166329!16s%2Fg%2F11qr966x31!19sChIJT22rVshvIjkROUs9PCCdMd8?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Property Markaz,Not Found,+92 323 6111300,Google Maps,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Property+Markaz/data=!4m7!3m6!1s0x39226925243b8def:0x38bfe44da5f6066c!8m2!3d31.4137353!4d73.1138686!16s%2Fg%2F11t46vqjqv!19sChIJ7407JCVpIjkRbAb2pU3kvzg?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
#1,realestate in faislabad in Jaranwala Road Pakistan,Mian Brothers Estate Agency,Not Found,Not Found,,,,Not Found,,,Owner / Executive,,Not Found,,,,Not Found,Not Found,0,https://www.google.com/maps/place/Mian+Brothers+Estate+Agency/data=!4m7!3m6!1s0x392242a505bff8c1:0xdacb8a32f9bdd9d!8m2!3d31.4115728!4d73.0784479!16s%2Fg%2F11bbvpn74p!19sChIJwfi_BaVCIjkRnd2bL6O4rA0?authuser=0&hl=en&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1
